2025-01-27T17:43:16.336269Z [info     ] 2025-01-27 14:43:16,336 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.336372Z [info     ] 2025-01-27 14:43:16,336 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.391750Z [info     ] 2025-01-27 14:43:16,391 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05543875694274902, "tags": {"stream": "order_details", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.392029Z [info     ] 2025-01-27 14:43:16,391 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.392186Z [info     ] 2025-01-27 14:43:16,391 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.392315Z [info     ] 2025-01-27 14:43:16,391 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.415100Z [info     ] 2025-01-27 14:43:16,414 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0229494571685791, "tags": {"stream": "orders", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.415378Z [info     ] 2025-01-27 14:43:16,415 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.415547Z [info     ] 2025-01-27 14:43:16,415 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.415682Z [info     ] 2025-01-27 14:43:16,415 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
