2025-01-26T21:11:41.063052Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.063162Z [info     ] 2025-01-26 18:11:41,062 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.063255Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.063333Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.066590Z [info     ] 2025-01-26 18:11:41,066 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007900714874267578, "tags": {"stream": "public-customer_customer_demo", "pid": 31163, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.066780Z [info     ] 2025-01-26 18:11:41,066 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 31163, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.066875Z [info     ] 2025-01-26 18:11:41,066 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.067000Z [info     ] 2025-01-26 18:11:41,066 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.067267Z [info     ] 2025-01-26 18:11:41,067 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.067393Z [info     ] 2025-01-26 18:11:41,067 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
