2025-01-27T01:01:22.677402Z [info     ] 2025-01-26 22:01:22,677 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.677536Z [info     ] 2025-01-26 22:01:22,677 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.708512Z [info     ] 2025-01-26 22:01:22,708 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.030872106552124023, "tags": {"stream": "orders", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.708938Z [info     ] 2025-01-26 22:01:22,708 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 86546, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.709050Z [info     ] 2025-01-26 22:01:22,708 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.709138Z [info     ] 2025-01-26 22:01:22,708 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.711355Z [info     ] 2025-01-26 22:01:22,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.002425670623779297, "tags": {"stream": "products", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.711504Z [info     ] 2025-01-26 22:01:22,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 86546, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.711592Z [info     ] 2025-01-26 22:01:22,711 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.711688Z [info     ] 2025-01-26 22:01:22,711 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.711899Z [info     ] 2025-01-26 22:01:22,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00027632713317871094, "tags": {"stream": "public-categories", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.712020Z [info     ] 2025-01-26 22:01:22,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 86546, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
