2025-01-26T21:06:51.990588Z [info     ] 2025-01-26 18:06:51,990 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.990719Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.990813Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994148Z [info     ] 2025-01-26 18:06:51,993 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008017539978027344, "tags": {"stream": "public-customer_customer_demo", "pid": 30311, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994342Z [info     ] 2025-01-26 18:06:51,994 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 30311, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994443Z [info     ] 2025-01-26 18:06:51,994 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994523Z [info     ] 2025-01-26 18:06:51,994 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994825Z [info     ] 2025-01-26 18:06:51,994 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.994942Z [info     ] 2025-01-26 18:06:51,994 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.995060Z [info     ] 2025-01-26 18:06:51,994 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.995165Z [info     ] 2025-01-26 18:06:51,994 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.996325Z [info     ] 2025-01-26 18:06:51,996 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:52.003119Z [info     ] 2025-01-26 18:06:52,002 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008500814437866211, "tags": {"stream": "public-customer_demographics", "pid": 30311, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.003361Z [info     ] 2025-01-26 18:06:52,003 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 30311, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.003518Z [info     ] 2025-01-26 18:06:52,003 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.003612Z [info     ] 2025-01-26 18:06:52,003 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.003773Z [info     ] 2025-01-26 18:06:52,003 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:52.003916Z [info     ] 2025-01-26 18:06:52,003 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:52.004063Z [info     ] 2025-01-26 18:06:52,003 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:52.004186Z [info     ] 2025-01-26 18:06:52,003 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:52.007670Z [info     ] 2025-01-26 18:06:52,007 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:52.016651Z [info     ] 2025-01-26 18:06:52,016 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01305532455444336, "tags": {"stream": "public-customers", "pid": 30311, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.016851Z [info     ] 2025-01-26 18:06:52,016 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 30311, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.016938Z [info     ] 2025-01-26 18:06:52,016 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.017027Z [info     ] 2025-01-26 18:06:52,016 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:52.018231Z [info     ] 2025-01-26 18:06:52,018 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:52.018377Z [info     ] 2025-01-26 18:06:52,018 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
