2025-01-27T17:26:39.791893Z [info     ] 2025-01-27 14:26:39,791 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.821814Z [info     ] 2025-01-27 14:26:39,821 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.029896974563598633, "tags": {"stream": "orders", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.822044Z [info     ] 2025-01-27 14:26:39,821 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.822195Z [info     ] 2025-01-27 14:26:39,821 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.822339Z [info     ] 2025-01-27 14:26:39,821 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.825142Z [info     ] 2025-01-27 14:26:39,825 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.002957582473754883, "tags": {"stream": "products", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.825331Z [info     ] 2025-01-27 14:26:39,825 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.825457Z [info     ] 2025-01-27 14:26:39,825 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.825585Z [info     ] 2025-01-27 14:26:39,825 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.825740Z [info     ] 2025-01-27 14:26:39,825 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00031185150146484375, "tags": {"stream": "public-categories", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.825886Z [info     ] 2025-01-27 14:26:39,825 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.825996Z [info     ] 2025-01-27 14:26:39,825 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.826134Z [info     ] 2025-01-27 14:26:39,825 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.826273Z [info     ] 2025-01-27 14:26:39,826 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0001857280731201172, "tags": {"stream": "region", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.826384Z [info     ] 2025-01-27 14:26:39,826 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.826528Z [info     ] 2025-01-27 14:26:39,826 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.826644Z [info     ] 2025-01-27 14:26:39,826 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.826828Z [info     ] 2025-01-27 14:26:39,826 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00022840499877929688, "tags": {"stream": "shippers", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.826976Z [info     ] 2025-01-27 14:26:39,826 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.827138Z [info     ] 2025-01-27 14:26:39,826 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.827243Z [info     ] 2025-01-27 14:26:39,826 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.828319Z [info     ] 2025-01-27 14:26:39,828 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012133121490478516, "tags": {"stream": "suppliers", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.828515Z [info     ] 2025-01-27 14:26:39,828 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.828635Z [info     ] 2025-01-27 14:26:39,828 | INFO     | tap-csv.territories  | Beginning full_table sync of 'territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.828716Z [info     ] 2025-01-27 14:26:39,828 | INFO     | tap-csv.territories  | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.829907Z [info     ] 2025-01-27 14:26:39,829 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.001313924789428711, "tags": {"stream": "territories", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.830046Z [info     ] 2025-01-27 14:26:39,829 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 53, "tags": {"stream": "territories", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.830144Z [info     ] 2025-01-27 14:26:39,830 | INFO     | tap-csv.us_states    | Beginning full_table sync of 'us_states'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.830252Z [info     ] 2025-01-27 14:26:39,830 | INFO     | tap-csv.us_states    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.831532Z [info     ] 2025-01-27 14:26:39,831 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0013225078582763672, "tags": {"stream": "us_states", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.831648Z [info     ] 2025-01-27 14:26:39,831 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 51, "tags": {"stream": "us_states", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.928858Z [info     ] 2025-01-27 14:26:39,928 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:39.929125Z [info     ] 2025-01-27 14:26:39,928 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:39.929246Z [info     ] 2025-01-27 14:26:39,928 | INFO     | target-postgres.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:40.266123Z [info     ] 2025-01-27 14:26:40,265 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:40.266432Z [info     ] 2025-01-27 14:26:40,266 | INFO     | target-postgres.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:40.420554Z [info     ] 2025-01-27 14:26:40,420 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:40.420833Z [info     ] 2025-01-27 14:26:40,420 | INFO     | target-postgres.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:40.595713Z [info     ] 2025-01-27 14:26:40,595 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
2025-01-27T17:26:40.595968Z [info     ] 2025-01-27 14:26:40,595 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=target-postgres
