2025-01-27T17:31:18.940579Z [info     ] 2025-01-27 14:31:18,940 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.968037Z [info     ] 2025-01-27 14:31:18,967 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0274350643157959, "tags": {"stream": "orders", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.968255Z [info     ] 2025-01-27 14:31:18,968 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.968348Z [info     ] 2025-01-27 14:31:18,968 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.968431Z [info     ] 2025-01-27 14:31:18,968 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.970678Z [info     ] 2025-01-27 14:31:18,970 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0022902488708496094, "tags": {"stream": "products", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.970907Z [info     ] 2025-01-27 14:31:18,970 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971014Z [info     ] 2025-01-27 14:31:18,970 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971101Z [info     ] 2025-01-27 14:31:18,970 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971210Z [info     ] 2025-01-27 14:31:18,971 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002677440643310547, "tags": {"stream": "public-categories", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971321Z [info     ] 2025-01-27 14:31:18,971 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971406Z [info     ] 2025-01-27 14:31:18,971 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971517Z [info     ] 2025-01-27 14:31:18,971 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971630Z [info     ] 2025-01-27 14:31:18,971 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0001761913299560547, "tags": {"stream": "region", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971732Z [info     ] 2025-01-27 14:31:18,971 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.971816Z [info     ] 2025-01-27 14:31:18,971 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.972027Z [info     ] 2025-01-27 14:31:18,971 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.972163Z [info     ] 2025-01-27 14:31:18,972 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00022840499877929688, "tags": {"stream": "shippers", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.972254Z [info     ] 2025-01-27 14:31:18,972 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
