2025-01-26T21:28:49.583324Z [info     ] 2025-01-26 18:28:49,582 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 33966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.583484Z [info     ] 2025-01-26 18:28:49,583 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.583584Z [info     ] 2025-01-26 18:28:49,583 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.599472Z [info     ] 2025-01-26 18:28:49,599 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.015831708908081055, "tags": {"stream": "public-customers", "pid": 33966, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.599699Z [info     ] 2025-01-26 18:28:49,599 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 33966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.599808Z [info     ] 2025-01-26 18:28:49,599 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.599930Z [info     ] 2025-01-26 18:28:49,599 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.611085Z [info     ] 2025-01-26 18:28:49,610 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01116800308227539, "tags": {"stream": "public-employee_territories", "pid": 33966, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.611316Z [info     ] 2025-01-26 18:28:49,611 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "public-employee_territories", "pid": 33966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.611454Z [info     ] 2025-01-26 18:28:49,611 | INFO     | tap-postgres.public-employees | Beginning full_table sync of 'public-employees'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.611541Z [info     ] 2025-01-26 18:28:49,611 | INFO     | tap-postgres.public-employees | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.627063Z [info     ] 2025-01-26 18:28:49,626 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.015335798263549805, "tags": {"stream": "public-employees", "pid": 33966, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.627300Z [info     ] 2025-01-26 18:28:49,627 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "public-employees", "pid": 33966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.627436Z [info     ] 2025-01-26 18:28:49,627 | INFO     | tap-postgres.public-orders | Beginning full_table sync of 'public-orders'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.627543Z [info     ] 2025-01-26 18:28:49,627 | INFO     | tap-postgres.public-orders | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.670070Z [info     ] 2025-01-26 18:28:49,669 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.670303Z [info     ] 2025-01-26 18:28:49,670 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.670396Z [info     ] 2025-01-26 18:28:49,670 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.672636Z [info     ] 2025-01-26 18:28:49,672 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
