2025-01-26T21:12:58.221344Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.221477Z [info     ] 2025-01-26 18:12:58,221 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.221625Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.221730Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.225012Z [info     ] 2025-01-26 18:12:58,224 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008485794067382812, "tags": {"stream": "public-customer_customer_demo", "pid": 31501, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.225185Z [info     ] 2025-01-26 18:12:58,224 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 31501, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.225319Z [info     ] 2025-01-26 18:12:58,225 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.225403Z [info     ] 2025-01-26 18:12:58,225 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.225531Z [info     ] 2025-01-26 18:12:58,225 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=target-csv
2025-01-26T21:12:58.225651Z [info     ] 2025-01-26 18:12:58,225 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=target-csv
