2025-01-26T21:12:02.786846Z [info     ] 2025-01-26 18:12:02,786 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.786965Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.787059Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790221Z [info     ] 2025-01-26 18:12:02,790 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0077991485595703125, "tags": {"stream": "public-customer_customer_demo", "pid": 31299, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790462Z [info     ] 2025-01-26 18:12:02,790 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 31299, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790628Z [info     ] 2025-01-26 18:12:02,790 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790805Z [info     ] 2025-01-26 18:12:02,790 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.791098Z [info     ] 2025-01-26 18:12:02,790 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.791273Z [info     ] 2025-01-26 18:12:02,791 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.791365Z [info     ] 2025-01-26 18:12:02,791 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.791504Z [info     ] 2025-01-26 18:12:02,791 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.792645Z [info     ] 2025-01-26 18:12:02,792 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.799101Z [info     ] 2025-01-26 18:12:02,798 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00832509994506836, "tags": {"stream": "public-customer_demographics", "pid": 31299, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.799301Z [info     ] 2025-01-26 18:12:02,799 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 31299, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.799427Z [info     ] 2025-01-26 18:12:02,799 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.799512Z [info     ] 2025-01-26 18:12:02,799 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.799789Z [info     ] 2025-01-26 18:12:02,799 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.799923Z [info     ] 2025-01-26 18:12:02,799 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.800042Z [info     ] 2025-01-26 18:12:02,799 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
